beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
1,American Session,Watling Street,,3.7%,Pale Ale,,,"A session Pale brewed with Liberty, Mosaic and Citra. Bags of flavour and only a little alcohol."
2,Azacca,Signature Brew,,5.0%,Pale Ale,,,"Named for the Haitian god of agriculture, Azacca is a hop big in citrus and tropical fruit notes."
3,Best of You,Kelham Island,,5.5%,APA,,,"A pale ale brewed with four varieties of US hops, Columbus for bitterness and late hopped with Amarillo, Centennial and Citra."
4,Black,The Chiltern Brewery,,3.9%,Porter,y,,"Dark, ruby treacle tones, hints of roast barley and beautifully hopped with a chocolatey aroma."
5,Blonde,The 3 Brewers of St.Albans,,4.0%,Golden / Blonde,,,Mosaic hops give the beer a wonderful hoppy aroma and a refreshing smack of fruity citrussy flavours.
6,Blood Moon,Aylesbury Brewhouse Co.,,4.5%,Amber Ale,,,"Caramel malt, toffee, biscuit, dried fruit, resinous hops."
7,Blue Skies IPA,Oakham,,6.0%,IPA,,,"Tropical fruit, citrus, peach, medium bitterness."
8,Bluebird,Lenton Lane,,3.8%,Golden / Blonde,,,"Pale, refreshing & hoppy."
9,Brock,Tring Brewery Co.,Q7842351,3.7%,Bitter,,,A hint of sweetness and caramel. Challenger hops for bitterness & late hopped with Styrian Goldings.
10,C-Bomb,Brew Foundation,,4.2%,Session IPA,,,"Fruity pale ale, singly hopped with Citra. Lemon and citrus, low bitterness."
11,Cherry Bomb,Tiny Rebel,,5.0%,Fruit Beer,,,"A modern take on the classic Belgian sour cherry beer, Kriek."
12,Chilli Porter,Leighton Buzzard Brewing Co.,,5.8%,Porter,,,"A wonderful, complex, robust porter with glorious hints of coffee and chocolate and a little chilli heat."
13,Chopper,Great Heck,,3.8%,Golden / Blonde,,,Pale Yorkshire session beer using English & Slovenian hops. Dry hopped with Chinook for aroma.
14,Citra Pale,BAD Co.,,4.5%,Pale Ale,,,Classic lemon notes from the use of Citra hops in this refreshing pale ale.
15,Confidence,Moor,,4.6%,Amber Ale,,,"Crystal and wheat malts, spicy US hops, rich & malty."
16,Dark Arts,Magic Rock Brewing,,6.0%,Stout,,,"A luxuriously smooth mouthfeel, followed by spicy hop notes and flavours of chocolate, liquorice, blackberries and figs."
17,Dark Fox,Hornes Brewery,,3.8%,Brown Ale,,,A rich malty brown brew with roasted notes and a lasting dry bitter finish.
18,Day Tripper,Downlands Brewery,,5.4%,Golden / Blonde,,,A light hoppy ale with a twist of Summer.
19,Death or Glory,Tring Brewery Co.,Q7842351,7.2%,Barley Wine,,,"A rich, sweet barley wine with a heady, alcoholic nose and incredibly complex flavour profile."
20,Don't Believe the Hype,Tiny Rebel,,5.0%,IPA,,,"Hazy golden colour, floral & caramel aroma, taste is sweet & juicy citrus."
21,Earl Grey IPA,Marble Brewery,,6.8%,IPA,,,"Crisp and golden. Caramel, tea and malt aromas. Sweet with some bitterness and spiciness."
22,Ekuanot Extra Pale,Beatnikz Republic,,4.4%,Pale Ale,,,Singly hopped with Ekuanot for a juicy tropical flavour and aroma.
23,Fanny Ebbs,Tring Brewery Co.,Q7842351,3.9%,Golden / Blonde,,,Crisp with very low bitterness and a late citrus hop aroma from a combination of Saaz and Cascade varieties.
