beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
1,Abyss,Neptune Brewery,Q135551664,5.0%,Stout,y,,"Triple oated, giving a smooth, chocolatey stout with a hint of roasted coffee."
2,Aur Melys,Monty's Brewery,Q135552557,3.9%,Golden Ale,,,Pronounced Our Mellys - Sweet Gold in Welsh. Sweet and mellow with a golden hue and soft malt finish. Very moreish and sessionable.
3,Aussie Pale,GlassHouse Beer Co,Q135552484,4.5%,Pale Ale,y,,"A vibrant pale ale with juicy notes of passionfruit and tangerine, layered over sweet biscuity malts and a touch of pine and earthy truffle."
4,Beechwood,The Chiltern Brewery,Q97661391,4.3%,Best Bitter,,,"Mid-amber with toffee and nutty aroma. Balanced bitterness and sweetness with a long, satisfying finish."
5,Best,The Five Points Brewing Company,Q98071243,4.1%,Best Bitter,,,"A modern take on a classic bitter with caramel and biscuit malt character, balanced by grassy, herbal Fuggle hops."
6,Black Beauty,Vale Brewery,Q98072911,4.4%,Porter,,,Dark and smooth with chocolate and coffee notes. A velvety mild with gentle bitterness.
7,Black Mass,Abbeydale Brewery,Q98067081,6.66%,Black IPA,y,y,"A bold Black IPA with roasted malt, chocolate, and coffee notes balanced by assertive hop bitterness; dark, complex, and smooth."
8,Blond,Weekend Project / Surrey Hills (collab),,4.2%,Blonde Ale,,,A crisp and easy-drinking golden ale with light malt sweetness and subtle floral hops; refreshing and balanced.
9,Blonde,The 3 Brewers of St.Albans,Q97619412,4.2%,Blonde Ale,,,Smooth and mellow with hints of honey and biscuit malt. Easy-drinking and delicately balanced.
10,Blonde Ale,Brentwood,,3.8%,Blonde / Golden Ale,,,Light and fruity with a crisp finish from Styrian Golding hops. Easy-drinking and refreshing.
11,Blood Mountain,Black Iris,,4.2%,Best Bitter,,,"English-hopped red ale with a subtle caramel backbone and a dry, balanced finish."
12,Brill Gold,Vale Brewery,Q98072911,3.4%,Golden Ale,,,Pale and refreshing with a gentle bitterness and soft malt sweetness.
13,Brother Rabbit,Thornbridge,Q7796317,4.0%,Golden Ale,,,Crisp and light with hints of lemon zest and a soft floral bitterness.
