beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
1,A Little Faith,Northern Monk,Q98214662,4.0%,Pale Ale,y,,"All the juice, citrus and tropical flavour of Faith, but even more sessionable at a lower ABV of 4%."
2,Absolution,Abbeydale Brewery,Q98067081,5.3%,Golden Ale,,,"American hops give fruity, floral flavours, plus Australian Galaxy for a tropical boost."
3,Ampthill,Kelchner Brewery,Q127687141,4.1%,Golden Ale,,,"Brewed using yeast, the finest hops and a specially selected amber malt that gives it a rich golden tone."
4,Azalea,GlassHouse Beer Co,Q135552484,4.6%,Pale Ale,,,"Easy drinking pale ale with notes of pear, creamy orange and a soft bitterness."
5,Bermondsey Pale,Anspach & Hobday,Q98222607,4.0%,Pale Ale,y,,Refreshingly crisp pale ale with citrus/lemon notes.
6,Bitter Seas,Northdown,,4.2%,Best Bitter,y,,"Local Kent hops form the earthy, herbal base then dry-hopped with an aromatic dose of NZ hops."
7,Blonde,Buxton,Q98118486,4.6%,Blonde Ale,y,,"Golden Ale, brewed with English Olicana hops. Aromas of sweet malted barley and subtle fresh hops."
8,Blonde,The 3 Brewers of St.Albans,Q97619412,4.2%,Blonde Ale,,,"Golden in colour, Mosaic hops give a fruity aroma and a refreshing smack of citrussy flavours."
9,Blue Sky Drinking,Arbor,Q97665078,4.4%,Bitter,y,,Well balanced tawny bitter with full bodied malt and citrus hop notes.
10,Bread & Butter,Vocation Brewery,Q107717907,3.9%,Pale Ale,y,,"Flavours and aromas of pine, peach, lychee and citrus, with a well balanced bitterness."
11,Brock,Tring Brewery Co.,Q7842351,3.7%,Bitter,,,A hint of sweetness and caramel while Challenger and Styrian Goldings hops impart aroma and bitterness.
12,Chiltern Black,The Chiltern Brewery,Q97661391,3.9%,Porter,y,,"Dark, ruby treacle tones, hints of roast barley and beautifully hopped with a chocolaty aroma."
13,Chiltern Pale,The Chiltern Brewery,Q97661391,3.7%,Pale Ale,,,"Light in colour with a creamy smoothness, it is a good example of a Pale Ale with a refreshing clean finish."
14,Classic,The 3 Brewers of St.Albans,Q97619412,4.0%,Bitter,,,"Deep amber colour, a light hoppy aroma and a rich and rounded malty taste to give a smooth and refreshing ale."
15,Coltrane,Thornbridge,Q7796317,5.0%,Brown Ale,,,American hops provide a huge fresh burst of citrus flavours creating a very well balanced beer.
16,Crab,Animal Brewing Co,Q97975500,4.6%,Pale Ale,,,"A punchy single hopped pale ale, packed with cascade."
17,Cwtch Gold,Tiny Rebel / Theakston (collab),Q27136461,4.6%,Golden Ale,y,,"Collab with Theakston. Easy drinking, malty with Citra and Cascade hops for a citrus finish."
18,Daily Bread,Abbeydale Brewery,Q98067081,3.8%,Bitter,,,"A classic English bitter, copper coloured, well balanced, malty flavours and a smooth bitter finish."
19,Dark Mild,Timothy Taylor's,Q7807560,3.5%,Dark Mild,,,"A dark ruby beer with roasted notes and a smooth, creamy taste. A favourite of lovers of a good old fashioned mild."
20,Death or Glory,Tring Brewery Co.,Q7842351,7.2%,Strong Ale,,,"A rich, sweet barley wine with an incredibly complex flavour profile. Brewed by appointment to the Kings Royal Lancers."
21,Eight,XT Brewing Co.,Q39053843,4.5%,Porter,,,Rich dark beer brewed with four malts and a cocktail of hops. Deep malty base with dark chocolate flavours.
