beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
1,A Room Is Still A Room,Cloudwater,Q104869040,4.0%,Pale Ale,y,,"Soft and hazy with bright Citra and Enigma hop character, delivering juicy citrus, tropical fruit and gentle stone-fruit flavours; smooth, highly drinkable."
2,Beechwood,The Chiltern Brewery,Q97661391,4.3%,Bitter,,y,"Mid-amber with toffee and nutty aroma. Balanced bitterness and sweetness with a long, satisfying finish."
3,Beer Street,London Brewing Co.,,4.0%,Bitter,,,Easy-drinking pale ale with bright hop aromas and subtle citrus flavours.
4,Best,The Five Points Brewing Company,Q98071243,4.1%,Best Bitter,y,,Traditional best bitter with balanced caramel malt and earthy English hop character.
5,Bitter,Kirkstall,,3.8%,Bitter,,,Classic Yorkshire bitter with balanced malt sweetness and a satisfying hoppy finish.
6,Black,The Chiltern Brewery,Q97661391,3.9%,Stout,,,Dark ruby with roast barley and chocolate notes. Smooth and complex — a year-round favourite.
7,Black Beauty,Vale Brewery,Q98072911,4.4%,Porter,,,"A smooth, dark porter with rich roasted malt, chocolate and coffee notes, finishing with a gentle sweetness and satisfying depth."
8,Blonde,The 3 Brewers of St.Albans,Q97619412,4.2%,Blonde,,,Mosaic and Rakau hops give a wonderful hoppy aroma and a refreshing smack of fruity citrussy flavours.
9,Brill Gold,Vale Brewery,Q98072911,3.4%,Golden,,,"Maris Otter malt and English hops, including First Gold and Celeia. Subtle citrus and orange hop flavours and balanced bitterness."
10,Butty Bach,Wye Valley Brewery,Q8039718,4.5%,Premium Ale,,,"Smooth premium amber ale with rich malt flavours, fruity notes and a deceptively easy finish."
11,Buzzard,XT / Animal (collab),Q39053843,4.6%,Pale,,,A single hopped Pale. Yakima giving floral hints and mild bitterness.
12,By Furrow,Woodshedding,,4.5%,Golden Ale,,,"Modern pale ale combining juicy hop character with a clean, balanced finish."
13,By the Mill,Burnt Mill,,3.8%,Best Bitter,y,y,"Soft, hop-forward pale best bitter showcasing vibrant citrus and tropical fruit notes."
14,Clown College,Pentrich Brewing Co.,Q135552809,4.6%,Pale Ale,y,,"Naturally hazy pale ale with mango, passion fruit and grapefruit over gentle bitterness."
15,Colleys Dog,Tring Brewery Co.,Q7842351,5.2%,Ruby Ale,,,"A rich, dark ruby ale with nutty malt flavours, hints of caramel and walnut, a full-bodied character, and a long, smooth dry finish."
16,Cwtch,Tiny Rebel,Q27136461,4.6%,Red Ale,y,,Smooth Welsh red ale with caramel sweetness and a hint of citrus hops.
17,Death or Glory,Tring Brewery Co.,Q7842351,7.2%,Strong Ale,,,"A rich, strong ale with a heady fruity, estery nose. This beer  has a very complex flavour profile."
18,Drift,St Ives,,4.0%,Amber Ale,,,Light golden ale with gentle citrus notes and an easy-drinking character.
19,Endless Love,Wiper and True,Q27067400,4.8%,Pale Ale,y,,"Bright pale ale with vibrant citrus, stone fruit and balanced refreshment."
20,Ernie's Milk Stout,Settle,,4.5%,Milk Stout,,,"Rich and creamy milk stout with roasted coffee, chocolate and subtle sweetness."
21,Evolve,Mad Squirrel,Q98074829,4.1%,Bitter,,,"Hopped with Chinook, Harlequin and Olicana producing a bitter with a blend of pine and citrus aromas."
22,Fanny Ebbs,Tring Brewery Co.,Q7842351,3.9%,Summer,,,Crisp with low bitterness and citrus hop aroma from a combination of Saaz and Cascade varieties.
23,Fashionably Late,Siren Craft Brew,Q97726156,4.5%,West Coast IPA,,,Smooth modern pale ale combining juicy tropical fruit with bright citrus hops.
