beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
1,A Little Faith,Northern Monk,Q98214662,4.0%,Hazy Pale Ale,,,"All the juice, citrus and tropical flavour of Faith, but even more sessionable at a lower ABV of 4%"
2,Amity,Vale,Q98072911,3.9%,Bitter,,,A blend of malts to give it a so-fish-ticated dry finish and American Columbus hops that gives it a real bite.
3,Ashford,Thornbridge,Q7796317,4.2%,Brown Ale,,,"Floral and berry hop with gentle coffee and roast hazelnut aromas. Smooth in the mouth with a nice dry, toasty note."
4,Beechwood,Chiltern,Q97661391,4.3%,Bitter,,,"Premium quality pale malt, crystal malt, and increased hops, gives this beer its renowned 'nutty' flavour and punch."
5,Best,Five Points,Q98071243,4.1%,Best Bitter,,,"A singly hopped with Fuggles. Refreshing and smooth, with caramel and biscuit notes, and a grassy, herbal freshness."
6,Birthday Stay Puft,Tiny Rebel,Q27136461,10.0%,Marshmallow Porter,,,"Marshmallow & Salted Caramel Birthday Cake Porter. A thick, oozy, caramely, birthday cakey, 10% monster."
7,Bitter,Almasty,Q98070139,4.5%,Bitter,,,A traditional English Bitter with Maris Otter barley and traditional English hops. Gentle bitterness and floral aromas.
8,Black Friday,Paradigm,Q98075011,6.0%,Dark Mild,,,"Smooth, sweet and smoky. Contains five dark malts to give depth. Very drinkable & very dangerous!"
9,Black Swan,Vale,Q98072911,3.9%,Dark Mild,,,Dark and smooth with hints of chocolate and coffee on the nose and a soft rounded malt finish
10,Blonde,Saltaire,Q98073411,4.0%,Blonde,,,A soft rounded malt finish.
11,Blonde,The 3 Brewers,Q97619412,4.2%,Blonde Ale,,,Light golden in colour and brewed with Mosaic hops. Hoppy aroma and a refreshing smack of fruity citrussy flavours.
12,Brill Gold,Vale,Q98072911,3.5%,Golden Ale,,,A refreshing golden ale with hints of orange zest and a deep caramel finish.
13,Broken Dream,Siren,,6.5%,Milk Stout,,,"Indulgent, smooth, unctuous and moreish. Brewed with milk sugar and coffee beans for balance and mouthfeel."
14,Centennial,Salt,,4.0%,Pale Ale,,,"A smooth session ale with orange, marmalade, tropical fruit aromas complemented by a piney bitter finish."
15,Chiltern Black,Chiltern,Q97661391,3.9%,Porter,,,"Dark, ruby treacle tones, hints of roast barley and beautifully hopped with a chocolaty aroma."
16,Chop & Change Mosaic,Vocation,Q107717907,4.0%,Hazy Pale Ale,,,"A simple pale malt grain bill and Mosaic hops. Clean, with berry and earthy notes, typical of Mosaic."
17,Citra,Oakham,Q7073885,4.2%,Session IPA,,,"Light gold in colour, bursting with citrus and tropical hop flavours and sensationally refreshing. The original UK Citra."
18,Club Hammer,Popes Yard,Q98222617,5.5%,Stout,,,"Rich aroma, roasted malts, cocoa, caramel; medium sweet and bitter, roasty, dark chocolate, toffee, spicy and earthy notes"
19,Cornish Bitter,Harbour,,4.0%,Bitter,,,An elaborate grain bill and a cocktail of US and EU hops make for a sweet floral aroma and soft fruit flavours.
20,Death or Glory,Tring Brewery Co.,Q7842351,7.2%,Strong Ale,,,"A rich, sweet barley wine with a heady, alcoholic nose and incredibly complex flavour profile. "
21,Double Stout,Hook Norton,Q794591,4.8%,Stout,,,"A rich aroma of sweet chocolate, espresso coffee, herbal hops and cracker-like double dark malt. Enjoy! See: Dark Ebony Smell: Roasted Coffee Taste: Dry Burnt Oak"
22,Encore,Bristol Beer Factory,Q107716330,4.7%,Saison,,,"Warm fermentation amplifies the classic Saison zing; clove, pepper and banana with a dry, crisp finish."
23,Eternal,Northern Monk,Q98214662,4.1%,Session IPA,,,Simcoe and Centennial hops dominate this light blonde beer. Tangerine aroma and a quenching citrus pith aftertaste.
24,Extra Special Marble,Marble,,5.5%,ESB,,,"Deep amber, aromas of toffee, caramel, biscuit and toast;  flavours of tangerine and marmalade with lasting bitterness."
25,Fanny Ebbs,Tring Brewery Co.,Q7842351,3.9%,Summer Ale,,,An amazingly crisp Summer Ale with very low bitterness and late citrus hop aroma from a combination of Saaz and Cascade varieties.
26,Featherstone,Hornes,Q97666414,3.6%,Amber Ale,,,US Crystal and Cascade hops in the boil and dry hopped with more Cascade make this little ABV beer pack a fruity punch.
27,Flying on Time,Odyssey,,4.5%,Session IPA,,,"Golden Promise malt. Idaho-7, Ekuanot & Cryo Azacca hops. Tangerine, mango & notes of sweet cereal."
28,Fourteen,XT Brewing Co.,Q39053843,4.5%,Saison,,,A Golden Pale Ale - brewed with a semi-wild Belgian Saison Yeast. A zesty fruity refreshing ale with a natural haze.
29,Golden,The 3 Brewers,Q97619412,3.8%,Golden Ale,,,"Cascade hops give a subtle citrus flavour, coupled with Cara malt to give a light golden colour and a hint of sweetness."
30,Golden Ale,Chiltern,Q97661391,3.9%,Golden Ale,,,Biscuity malt notes and hopped with the UK grown Cascade producing a beautiful citrus & grapefruit aroma.
