beer_number,beer_name,brewer,abv,beer_style,vegan,gluten_free,description
1,Centennial IPA,Leighton Buzzard Brewing Co.,6.8%,IPA,,,A big hoppy IPA brewed solely with the American Centennial hop.
2,Restoration Ale,Leighton Buzzard Brewing Co.,4.6%,Bitter,,,A mid brown beer with similarities in colour and strength to a traditional best bitter but enhanced by the generous use of American Cascade and Perle hops to deliver a fruity refreshing beer.
3,Black Buzzard,Leighton Buzzard Brewing Co.,5.8%,Porter,,,"A crazy marriage of six different malts delivers a wonderful, complex, robust porter."
4,Prestwoods Best,Malt,4.4%,Bitter,,,A moreish classic bitter that’s light chestnut in colour and has hints of caramel.
5,Summer Daze,Malt,4.0%,,,,"A light yet flavoursome ale, Malt Summer Daze is made with a New Zealand hop that gives it a tropical fruitiness and distinctive aroma."
6,All Rounder,Haresfoot,3.7%,Pale Ale,,,"All-rounder is a light, smooth, straw-coloured, quaffable pale ale (an all-rounder) generously hoped with a rich mix of English (first gold) and Australian (summer) hops."
7,Lock Keepers,Haresfoot,3.9%,Bitter,,,"Lock keeper's is a delicate balance of English challenger and Goldings hops adding full flavour and aroma to our rich mix of pale, crystal, and chocolate malted barley."
8,Hopfest,Red Squirrel,3.8%,Pale Ale,,,"Light golden ale with a floral / citrus aroma and elderflower notes from the cascades hops underpinned by a good helping of a Kiwi hop. This beer is full-bodied and full flavoured, yet is perfect as a session beer."
9,London Porter,Red Squirrel,5.0%,Porter,,,Almost black with a light coffee/chocolate/smoky aroma. The flavour is of light liquorice and dark roasted barley with some caramel sweetness. A smooth well rounded mouthfeel.
10,APA,Red Squirrel,4.7%,American Pale Ale,,,"Packed with a floral tropical aroma, a hoppy citrus kick, this golden amber ale is something to write home about."
11,Mansion Mild,Tring Brewery Co.,3.7%,Mild,,,"A smooth, creamy, ruby dark mild with a fruity palate and gentle late hop aroma."
12,Four Pale,Tring Brewery Co.,4.6%,English Pale Ale,,,Classic English Pale ale brewed with Cara and Crystal malt to enhance colour and add body. Kent Goldings hops are considered to be the most premium of all UK hop varieties and the aroma of sweet citrus fruit sits well with this iconic style.
13,Death or Glory,Tring Brewery Co.,7.2%,English Strong Ale,,,"A strong, dark, aromatic and estery Barley Wine. This has been ACBF champion beer 2 years running. A light pear drops and dried fruit aroma, with a luscious mouthfeel and more estery fruit on the tongue. A slight bitter finish does enough to balance this complex beer."
14,The Jester,Hook Norton Brewery Co. Ltd \ Dayla Drinks (collaboration),3.8%,Pale Ale,,,"Generously hopped with Jester, Challenger and Fuggles hops. Dayla and Hook Norton Brewery collaboration."
15,Beechwood,The Chiltern Brewery,4.3%,Bitter,,,"Chiltern's flagship beer is deep copper in colour and has a caramel/toffee nose with a slight biscuity malt. Well balanced with traditional English hops giving a light herbal, nutty flavour."
